case_id,building_type,method,routing_policy,run_id,seed,num_agents,operational_clearance_time_s,clearance_90_s,peak_density,congestion_duration_s,bottleneck_count,completed_pct
G,airport terminal,shortest_path,shortest_path,8,1718,88,59.2,36.62,12.96,28.0,41,95.5
G,airport terminal,shortest_path,shortest_path,9,1719,88,115.2,39.56,239.92,298.7,43,94.3
G,airport terminal,shortest_path,shortest_path,10,1720,88,108.2,36.08,21.32,52.7,44,95.5
G,airport terminal,random_routing,stochastic,1,1721,88,65.0,52.62,27.36,40.6,92,72.7
G,airport terminal,random_routing,stochastic,2,1722,88,83.8,61.04,32.56,46.6,77,76.1
G,airport terminal,random_routing,stochastic,3,1723,88,75.8,62.52,32.68,37.0,88,70.5
G,airport terminal,random_routing,stochastic,4,1724,88,67.6,49.96,25.0,34.0,94,62.5
G,airport terminal,random_routing,stochastic,5,1725,88,78.0,62.24,46.16,43.3,91,76.1
G,airport terminal,random_routing,stochastic,6,1726,88,77.2,59.04,28.84,36.8,84,71.6
G,airport terminal,random_routing,stochastic,7,1727,88,82.8,66.44,35.16,42.0,82,73.9
G,airport terminal,random_routing,stochastic,8,1728,88,93.8,62.36,29.32,47.6,83,76.1
G,airport terminal,random_routing,stochastic,9,1729,88,77.0,57.8,28.16,37.7,95,69.3
G,airport terminal,random_routing,stochastic,10,1730,88,63.8,55.8,32.68,34.9,87,63.6
G,airport terminal,density_aware,least_crowded,1,1731,88,101.4,48.96,42.68,75.7,65,90.9
G,airport terminal,density_aware,least_crowded,2,1732,88,189.8,36.16,94.0,115.2,50,94.3
G,airport terminal,density_aware,least_crowded,3,1733,88,135.2,61.32,40.24,74.3,66,94.3
G,airport terminal,density_aware,least_crowded,4,1734,88,113.2,65.8,37.88,65.4,65,92.0
G,airport terminal,density_aware,least_crowded,5,1735,88,143.4,49.76,83.68,100.3,60,94.3
G,airport terminal,density_aware,least_crowded,6,1736,88,101.0,40.0,31.92,76.4,60,90.9
G,airport terminal,density_aware,least_crowded,7,1737,88,127.4,54.36,34.0,80.7,60,93.2
G,airport terminal,density_aware,least_crowded,8,1738,88,137.0,65.7,29.2,66.8,61,95.5
G,airport terminal,density_aware,least_crowded,9,1739,88,126.2,46.84,76.16,96.6,59,94.3
G,airport terminal,density_aware,least_crowded,10,1740,88,99.6,60.34,29.76,48.6,55,95.5
G,airport terminal,peopleflow_guided,guided,1,1741,88,171.2,148.0,120.96,85.5,103,58.0
G,airport terminal,peopleflow_guided,guided,2,1742,88,188.8,123.72,132.4,94.3,104,62.5
G,airport terminal,peopleflow_guided,guided,3,1743,88,149.8,115.4,110.84,81.0,107,54.5
G,airport terminal,peopleflow_guided,guided,4,1744,88,145.2,124.3,129.84,77.4,103,47.7
G,airport terminal,peopleflow_guided,guided,5,1745,88,152.4,126.0,100.68,76.6,107,53.4
G,airport terminal,peopleflow_guided,guided,6,1746,88,169.6,135.56,109.64,88.0,114,59.1
G,airport terminal,peopleflow_guided,guided,7,1747,88,187.4,125.64,120.12,92.5,108,62.5
G,airport terminal,peopleflow_guided,guided,8,1748,88,173.0,156.9,101.44,85.8,106,59.1
G,airport terminal,peopleflow_guided,guided,9,1749,88,152.6,129.36,92.8,76.1,108,54.5
G,airport terminal,peopleflow_guided,guided,10,1750,88,150.2,134.36,101.24,76.1,107,48.9
H,metro station,shortest_path,shortest_path,1,1811,92,345.8,88.16,130.6,171.7,60,95.7
H,metro station,shortest_path,shortest_path,2,1812,92,316.8,71.8,98.12,157.4,75,95.7
